x,theta,memory,G_eff
0.0,1.0291133181682766,0.5168086107161048,1.2584043053580525
0.00390625,1.0324031435570864,0.5139702646283438,1.2569851323141719
0.0078125,1.0357130788747944,0.5111633198459963,1.255581659922998
0.01171875,1.0390413051251635,0.5083893938054422,1.2541946969027211
0.015625,1.0423859824215285,0.5056500620530924,1.2528250310265463
0.01953125,1.0457452506639053,0.5029468585078655,1.2514734292539327
0.0234375,1.04911723025037,0.5002812759329096,1.2501406379664548
0.02734375,1.0525000228231383,0.4976547666277142,1.248827383313857
0.03125,1.0558917120496978,0.4950687433536242,1.2475343716768121
0.03515625,1.0592903644392722,0.4925245805071555,1.2462622902535778
0.0390625,1.062694030194807,0.4900236155576146,1.2450118077788073
0.04296875,1.0661007441005894,0.48756715076831064,1.2437835753841553
0.046875,1.0695085264455266,0.4851564552227669,1.2425782276113835
0.05078125,1.072915383982021,0.4827927671816566,1.2413963835908284
0.0546875,1.0763193109202873,0.48047729679914375,1.240238648399572
0.05859375,1.0797182899578763,0.478211229232897,1.2391056146164485
0.0625,1.0831102933440648,0.47599572818653635,1.237997864093268
0.06640625,1.0864932839786905,0.4738319399307333,1.2369159699653667
0.0703125,1.0898652165449092,0.47172099785558663,1.2358604989277933
0.07421875,1.0932240386752616,0.4696640276169647,1.2348320138084823
0.078125,1.0965676921503376,0.46766215294889907,1.2338310764744496
0.08203125,1.0998941141292324,0.4657165022275106,1.2328582511137554
0.0859375,1.1032012384108931,0.46382821588574125,1.2319141079428706
0.08984375,1.106486996725357,0.4619984547963324,1.2309992273981663
0.09375,1.1097493200537836,0.46022840976051954,1.2301142048802598
0.09765625,1.1129861399760952,0.45851931226514936,1.2292596561325746
0.1015625,1.1161953900449353,0.45687244669971305,1.2284362233498565
0.10546875,1.1193750071845638,0.45528916426037996,1.22764458213019
0.109375,1.1225229331132225,0.45377089881000515,1.2268854494050025
0.11328125,1.1256371157873986,0.45231918501366336,1.2261595925068316
0.1171875,1.1287155108663465,0.45093567913055005,1.225467839565275
0.12109375,1.1317560831951246,0.4496221829162086,1.2248110914581043
0.125,1.1347568083043469,0.44838067117884767,1.224190335589424
0.12890625,1.1377156739247636,0.4472133236414548,1.2236066618207273
0.1328125,1.1406306815147336,0.44612256189326266,1.2230612809466312
0.13671875,1.1434998477986102,0.4451110923753166,1.2225555461876583
0.140625,1.1463212063140313,0.4441819565414004,1.2220909782707001
0.14453125,1.1490928089661063,0.44333858957620037,1.2216692947881003
0.1484375,1.1518127275865302,0.44258488934883594,1.221292444674418
0.15234375,1.154479055495744,0.4419252976407807,1.2209626488203904
0.15625,1.1570899090664044,0.4413648961316493,1.2206824480658247
0.16015625,1.1596434292866808,0.4409095201672545,1.2204547600836273
0.1640625,1.1621377833222792,0.4405658939928726,1.2202829469964362
0.16796875,1.1645711660766411,0.4403417919291708,1.2201708959645854
0.171875,1.1669418017496234,0.44024623091797904,1.2201231154589895
0.17578125,1.1692479453961344,0.4402897009843717,1.220144850492186
0.1796875,1.171487884487966,0.44048444145973503,1.2202422207298675
0.18359375,1.173659940484505,0.4408447722816085,1.2204223861408043
0.1875,1.1757624704215113,0.44138749130912847,1.2206937456545641
0.19140625,1.1777938685320335,0.44213235032166337,1.2210661751608316
0.1953125,1.179752567920268,0.443102624119052,1.221551312059526
0.19921875,1.1816370423183225,0.4443257887781897,1.2221628943890948
0.203125,1.1834458079681136,0.4458343263805927,1.2229171631902964
0.20703125,1.1851774256867438,0.4476666738722284,1.2238333369361143
0.2109375,1.1868305031946993,0.44986833195563014,1.224934165977815
0.21484375,1.188403697813396,0.45249314337106283,1.2262465716855315
0.21875,1.189895719674025,0.4556047328613126,1.2278023664306563
0.22265625,1.1913053356267975,0.4592780619330571,1.2296390309665286
0.2265625,1.192631374104076,0.46360096850490135,1.2318004842524506
0.23046875,1.1938727312804331,0.4686753973869318,1.234337698693466
0.234375,1.1950283789959177,0.47461772476235614,1.237308862381178
0.23828125,1.1960973750679589,0.48155706157351524,1.2407785307867576
0.2421875,1.19707887679243,0.48962960623505813,1.244814803117529
0.24609375,1.197972158553958,0.4989659652920882,1.249482982646044
0.25,1.1987766343651753,0.5096669561297569,1.2548334780648784
0.25390625,1.1994918855366887,0.5217620950108206,1.2608810475054102
0.2578125,1.2001176921093393,0.5351445350281373,1.2675722675140686
0.26171875,1.2006540636776957,0.5494780060751443,1.2747390030375723
0.265625,1.2011012605227835,0.5640772368549021,1.282038618427451
0.26953125,1.201459789900774,0.5777754814876366,1.2888877407438182
0.2734375,1.2017303563436517,0.5888122682539462,1.294406134126973
0.27734375,1.2019137416822738,0.5947994635418846,1.2973997317709423
0.28125,1.2020105939508012,0.592846417312827,1.2964232086564134
0.28515625,1.202021118157122,0.5799293211994346,1.2899646605997173
0.2890625,1.2019446889047802,0.5535536405061267,1.2767768202530634
0.29296875,1.2017794465757967,0.5126642615179902,1.2563321307589952
0.296875,1.2015219957518601,0.458615936848501,1.2293079684242505
0.30078125,1.2011673938381575,0.39588579578250405,1.197942897891252
0.3046875,1.2007096820893306,0.33218859438376647,1.1660942971918833
0.30859375,1.200143216489553,0.2778150067068994,1.1389075033534497
0.3125,1.1994648961571694,0.244302717507213,1.1221513587536065
0.31640625,1.198676951423168,0.24277921253126758,1.1213896062656339
0.3203125,1.1977892987793584,0.2822939101946333,1.1411469550973166
0.32421875,1.196820020946339,0.3681988448989841,1.184099422449492
0.328125,1.1957929369613403,0.5004039054608688,1.2502019527304344
0.33203125,1.1947326351979661,0.6714409363567202,1.33572046817836
0.3359375,1.193658819236608,0.8648260499054885,1.4324130249527443
0.33984375,1.192582083401953,1.0549662748137298,1.527483137406865
0.34375,1.1915021243928892,1.2102200865326882,1.605110043266344
0.34765625,1.1904080092965432,1.2999220369736921,1.649961018486846
0.3515625,1.1892795091874078,1.3038958515012113,1.6519479257506058
0.35546875,1.188088790906904,1.2203012011575347,1.6101506005787674
0.359375,1.1868024575896734,1.0671103576018104,1.5335551788009052
0.36328125,1.185384539349297,0.87574406034308,1.43787203017154
0.3671875,1.1838011667317723,0.680388935176077,1.3401944675880384
0.37109375,1.1820269920035253,0.5087798492379279,1.2543899246189638
0.375,1.1800519755652383,0.37795887322592814,1.188979436612964
0.37890625,1.1778857415875013,0.29463161487131784,1.1473158074356589
0.3828125,1.175556774587971,0.25774091181421216,1.128870455907106
0.38671875,1.1731059668563708,0.26122687572605063,1.1306134378630253
0.390625,1.1705770375065632,0.29613905073028884,1.1480695253651445
0.39453125,1.1680077015282049,0.3521430361177979,1.176071518058899
0.3984375,1.1654243464887741,0.4187445253180899,1.2093722626590448
0.40234375,1.162840749457443,0.48642538199288216,1.2432126909964412
0.40625,1.1602597446272702,0.5476363293432507,1.2738181646716253
0.41015625,1.1576763022378282,0.5974417978613166,1.2987208989306582
0.4140625,1.155080807853231,0.6336499497175235,1.3168249748587617
0.41796875,1.1524618659137766,0.6564296503542306,1.3282148251771153
0.421875,1.1498083717302892,0.6675889170710586,1.3337944585355292
0.42578125,1.1471108368592504,0.6697650794438202,1.3348825397219102
0.4296875,1.1443620653593296,0.6657378507112003,1.3328689253556
0.43359375,1.1415573243798014,0.6579735013455076,1.3289867506727537
0.4375,1.1386941662577599,0.6484065373639205,1.3242032686819603
0.44140625,1.1357720521298293,0.6384030541434312,1.3192015270717157
0.4453125,1.1327919026414557,0.6288315901821839,1.314415795091092
0.44921875,1.1297556654616812,0.6201778604469386,1.3100889302234693
0.453125,1.1266659509028794,0.6126614322808871,1.3063307161404436
0.45703125,1.123525754371913,0.6063332006001328,1.3031666003000664
0.4609375,1.1203382622445883,0.6011472870785388,1.3005736435392694
0.46484375,1.1171067263499368,0.5970092398723479,1.2985046199361738
0.46875,1.1138343890542028,0.5938057439487997,1.2969028719743998
0.47265625,1.110524442582754,0.591421452604315,1.2957107263021574
0.4765625,1.1071800098653974,0.5897476026877729,1.2948738013438865
0.48046875,1.1038041380223387,0.5886857708642292,1.2943428854321146
0.484375,1.1003997987651044,0.5881489572225799,1.2940744786112899
0.48828125,1.096969892250014,0.5880613112414601,1.29403065562073
0.4921875,1.0935172523959291,0.5883572396810034,1.2941786198405016
0.49609375,1.090044652573162,0.5889802882165529,1.2944901441082766
0.5,1.086554811087683,0.5898819928522014,1.2949409964261007
0.50390625,1.0830503961748414,0.5910207930125971,1.2955103965062986
0.5078125,1.0795340303777528,0.5923610451153153,1.2961805225576577
0.51171875,1.0760082942751816,0.5938721490564276,1.296936074528214
0.515625,1.072475729573953,0.5955277870898554,1.2977638935449276
0.51953125,1.0689388416086085,0.5973052682774288,1.2986526341387143
0.5234375,1.0654001013051464,0.5991849687558783,1.2995924843779392
0.52734375,1.0618619466713493,0.6011498569523527,1.3005749284761763
0.53125,1.0583267838764603,0.6031850928094914,1.3015925464047458
0.53515625,1.0547969879799768,0.6052776906248977,1.302638845312449
0.5390625,1.0512749033644233,0.6074162360024574,1.3037081180012287
0.54296875,1.0477628439212523,0.6095906484711505,1.3047953242355752
0.546875,1.0442630930330745,0.6117919824262247,1.3058959912131123
0.55078125,1.040777903389722,0.6140122601075679,1.307006130053784
0.5546875,1.037309496670393,0.6162443313019613,1.3081221656509807
0.55859375,1.0338600631194432,0.6184817553174915,1.3092408776587456
0.5625,1.030431761039277,0.6207187015229162,1.3103593507614582
0.56640625,1.0270267162202655,0.6229498653768992,1.3114749326884496
0.5703125,1.023647021324576,0.625170397401777,1.3125851987008885
0.57421875,1.0202947352382294,0.6273758429962321,1.313687921498116
0.578125,1.0169718824035052,0.6295620913447268,1.3147810456723634
0.58203125,1.0136804521419651,0.6317253319806689,1.3158626659903345
0.5859375,1.010422397976787,0.6338620178055238,1.316931008902762
0.58984375,1.0071996369617513,0.6359688335682934,1.3179844167841468
0.59375,1.00401404902309,0.6380426689755299,1.3190213344877648
0.59765625,1.0008674763194123,0.6400805957381991,1.3200402978690995
0.6015625,0.9977617226240874,0.6420798479750832,1.3210399239875417
0.60546875,0.9946985527337352,0.6440378054843755,1.3220189027421878
0.609375,0.9916796919058383,0.6459519794729788,1.3229759897364894
0.61328125,0.9887068253279448,0.6478200003966039,1.323910000198302
0.6171875,0.9857815976204487,0.6496396076166772,1.3248198038083385
0.62109375,0.9829056123745114,0.6514086406248151,1.3257043203124075
0.625,0.9800804317263172,0.6531250316224245,1.3265625158112122
0.62890625,0.9773075759685249,0.6547867992738547,1.3273933996369274
0.6328125,0.974588523199484,0.6563920434780113,1.3281960217390056
0.63671875,0.9719247090105262,0.6579389410244829,1.3289694705122415
0.640625,0.9693175262114063,0.6594257420194283,1.3297128710097141
0.64453125,0.9667683245937594,0.660850766981542,1.330425383490771
0.6484375,0.9642784107322527,0.6622124045216474,1.3311062022608238
0.65234375,0.961849047822945,0.6635091095308565,1.3317545547654284
0.65625,0.9594814555582085,0.6647394018112373,1.3323697009056186
0.66015625,0.9571768100374409,0.6659018650916896,1.3329509325458448
0.6640625,0.9549362437126663,0.6669951463777023,1.3334975731888512
0.66796875,0.952760845368015,0.668017955590452,1.334008977795226
0.671875,0.9506516601319813,0.6689690654549921,1.3344845327274961
0.67578125,0.9486096895212618,0.6698473116020326,1.3349236558010162
0.6796875,0.9466358915149085,0.6706515928513046,1.3353257964256522
0.68359375,0.9447311806574591,0.6713808716479165,1.3356904358239583
0.6875,0.9428964281896532,0.672034174625574,1.336017087312787
0.69140625,0.9411324622052891,0.6726105932733142,1.336305296636657
0.6953125,0.9394400678327396,0.6731092846842603,1.3365546423421302
0.69921875,0.9378199874396069,0.6735294723667817,1.3367647361833908
0.703125,0.9362729208589771,0.6738704471002815,1.3369352235501408
0.70703125,0.9347995256357076,0.6741315678189629,1.3370657839094815
0.7109375,0.9334004172911765,0.6743122625085459,1.337156131254273
0.71484375,0.9320761696049134,0.674412029101852,1.337206014550926
0.71875,0.9308273149115298,0.6744304363602446,1.3372152181801222
0.72265625,0.9296543444113822,0.6743671247291348,1.3371835623645674
0.7265625,0.9285577084933995,0.6742218071561965,1.3371109035780981
0.73046875,0.9275378170685408,0.6739942698622629,1.3369971349311314
0.734375,0.9265950399123576,0.6736843730552885,1.3368421865276443
0.73828125,0.9257297070151722,0.6732920515786049,1.3366460257893025
0.7421875,0.9249421089384127,0.6728173154854774,1.3364086577427388
0.74609375,0.9242324971756835,0.6722602505325497,1.336130125266275
0.75,0.9236010845171897,0.671621018585327,1.3358105092926635
0.75390625,0.9230480454161831,0.6708998579296981,1.3354499289648492
0.7578125,0.922573516356142,0.6700970834838058,1.335048541741903
0.76171875,0.9221775962174511,0.6692130869054499,1.334606543452725
0.765625,0.9218603466424077,0.668248336590585,1.3341241682952925
0.76953125,0.9216217923974311,0.6672033775589706,1.3336016887794853
0.7734375,0.9214619217314214,0.6660788312240364,1.3330394156120182
0.77734375,0.9213806867292723,0.6648753950438665,1.3324376975219332
0.78125,0.9213780036596119,0.663593842051377,1.3317969210256884
0.78515625,0.9214537533159123,0.662235020261943,1.3311175101309716
0.7890625,0.9216077813501791,0.6607998519572994,1.3303999259786496
0.79296875,0.9218398985985029,0.6592893328451964,1.3296446664225983
0.796875,0.9221498813978277,0.6577045310946065,1.3288522655473032
0.80078125,0.9225374718933663,0.6560465862467286,1.3280232931233642
0.8046875,0.9230023783361643,0.6543167080030472,1.3271583540015235
0.80859375,0.9235442753703932,0.6525161748911582,1.3262580874455792
0.8125,0.9241628043100273,0.6506463328106218,1.325323166405311
0.81640625,0.9248575734046316,0.6487085934608952,1.3243542967304476
0.8203125,0.9256281580940711,0.6467044326538534,1.3233522163269267
0.82421875,0.9264741012520202,0.6446353885142216,1.3223176942571109
0.828125,0.9273949134182317,0.6425030595710917,1.3212515297855458
0.83203125,0.9283900730195948,0.6403091027445864,1.3201545513722932
0.8359375,0.9294590265800922,0.638055231231795,1.3190276156158975
0.83984375,0.9306011889198295,0.6357432122965313,1.3178716061482656
0.84375,0.9318159433433947,0.6333748649677091,1.3166874324838544
0.84765625,0.9331026418178645,0.6309520576517852,1.3154760288258927
0.8515625,0.934460605140851,0.628476705664473,1.3142383528322366
0.85546875,0.935889123099048,0.625950768687587,1.3129753843437935
0.859375,0.9373874546178013,0.6233762481570225,1.3116881240785112
0.86328125,0.9389548279022927,0.620755184588164,1.3103775922940821
0.8671875,0.9405904405709898,0.6180896548449107,1.3090448274224553
0.87109375,0.9422934597820726,0.6153817693591724,1.3076908846795863
0.875,0.944063022353607,0.6126336693074111,1.3063168346537055
0.87890625,0.9458982348782901,0.6098475237512323,1.3049237618756162
0.8828125,0.9477981738336456,0.6070255267489933,1.3035127633744967
0.88671875,0.9497618856885964,0.6041698944454237,1.3020849472227118
0.890625,0.9517883870073915,0.6012828621465647,1.3006414310732823
0.89453125,0.9538766645519071,0.5983666813871227,1.2991833406935613
0.8984375,0.9560256753833838,0.5954236169974189,1.2977118084987094
0.90234375,0.9582343469647009,0.5924559441773298,1.296227972088665
0.90625,0.9605015772643237,0.589465945584263,1.2947329727921315
0.91015625,0.9628262348630923,0.5864559084422463,1.2932279542211231
0.9140625,0.9652071590650493,0.5834281216796423,1.2917140608398212
0.91796875,0.9676431600135292,0.5803848731019753,1.2901924365509876
0.921875,0.9701330188137536,0.577328446607273,1.2886642233036365
0.92578125,0.9726754876631944,0.5742611194506039,1.287130559725302
